user_id,age,gender,country,signup_date,last_login,account_type,usage_hours,rating,feedback
1001,29,Male,Pakistan,12/01/2024,05/01/2025,Free,12.5,4.5,Very helpful platform
1002,34,Female,India,03/02/2024,02/01/2025,Pro,48.2,5,Excellent experience
1003,,Male,USA,15/02/2024,28/12/2024,Free,3.1,3,Needs improvement
1004,41,,UK,22/11/2023,01/01/2025,Enterprise,150,4.8,Great support team
1005,22,Female,Pakistan,10/03/2024,,Free,0.5,2,Too slow
1006,37,Male,Germany,18/09/2023,30/12/2024,Pro,89.4,4.2,
1007,28,Other,Canada,25/01/2024,06/01/2025,Free,15,3.5,okay
1008,55,Male,USA,01/06/2023,19/11/2024,Enterprise,300.7,5,Outstanding
1009,19,Female,India,07/04/2024,15/12/2024,Free,1.2,1,Bad UI
1010,44,Male,Pakistan,30/12/2023,03/01/2025,Pro,62,4,Good
1011,31,Female,UK,28/02/2024,29/12/2024,Free,,3,Average
1012,26,Male,France,14/05/2024,04/01/2025,Free,6.7,,Nice concept
1013,39,Female,Germany,09/08/2023,20/12/2024,Pro,110.3,4.6,Very stable
1014,NaN,Male,USA,01/01/2024,31/12/2024,Free,9.9,3,Ok
1015,47,Female,Pakistan,11/10/2023,06/01/2025,Enterprise,210.5,4.9,Impressive performance
